Code,Year,"Share of population in poverty ($3 a day, 2021 prices)",Population (historical),World regions according to OWID
AFG,-10000,,14737,
AFG,-9000,,20405,
AFG,-8000,,28253,
AFG,-7000,,39120,
AFG,-6000,,54166,
AFG,-5000,,75000,
AFG,-4000,,306250,
AFG,-3000,,537500,
AFG,-2000,,768750,
AFG,-1000,,1000000,
AFG,0,,2000000,
AFG,100,,2250000,
AFG,200,,2500000,
AFG,300,,2500000,
AFG,400,,2500000,
AFG,500,,2500000,
AFG,600,,2500000,
AFG,700,,2425000,
AFG,800,,2350000,
AFG,900,,2300000,
AFG,1000,,2250000,
AFG,1100,,2375000,
AFG,1200,,2500000,
AFG,1300,,1750000,
AFG,1400,,1875000,
AFG,1500,,2000000,
AFG,1600,,2500000,
AFG,1700,,2500000,
AFG,1710,,2561625,
AFG,1720,,2619844,
AFG,1730,,2679386,
AFG,1740,,2740281,
AFG,1750,,2802560,
AFG,1760,,2866255,
AFG,1770,,2931397,
AFG,1780,,2998019,
AFG,1790,,3066156,
AFG,1800,,3280000,
AFG,1801,,3280000,
AFG,1802,,3280000,
AFG,1803,,3280000,
AFG,1804,,3280000,
AFG,1805,,3280000,
AFG,1806,,3280000,
AFG,1807,,3280000,
AFG,1808,,3280000,
AFG,1809,,3280000,
AFG,1810,,3280000,
AFG,1811,,3280000,
AFG,1812,,3280000,
AFG,1813,,3280000,
AFG,1814,,3280000,
AFG,1815,,3280000,
AFG,1816,,3280000,
AFG,1817,,3280000,
AFG,1818,,3280000,
AFG,1819,,3282935,
AFG,1820,,3288817,
AFG,1821,,3297661,
AFG,1822,,3309479,
AFG,1823,,3324285,
AFG,1824,,3339157,
AFG,1825,,3354095,
AFG,1826,,3369101,
AFG,1827,,3384173,
AFG,1828,,3399313,
AFG,1829,,3414520,
AFG,1830,,3429796,
AFG,1831,,3445140,
AFG,1832,,3460553,
AFG,1833,,3476034,
AFG,1834,,3491585,
AFG,1835,,3507205,
AFG,1836,,3522896,
AFG,1837,,3538656,
AFG,1838,,3554487,
AFG,1839,,3570389,
AFG,1840,,3586362,
AFG,1841,,3602406,
AFG,1842,,3618522,
AFG,1843,,3634711,
AFG,1844,,3650971,
AFG,1845,,3667305,
AFG,1846,,3683711,
AFG,1847,,3700191,
AFG,1848,,3716745,
AFG,1849,,3734342,
AFG,1850,,3752993,
AFG,1851,,3767956,
AFG,1852,,3783940,
AFG,1853,,3800954,
AFG,1854,,3818038,
AFG,1855,,3835192,
AFG,1856,,3852417,
AFG,1857,,3869714,
AFG,1858,,3887081,
AFG,1859,,3904521,
AFG,1860,,3922032,
AFG,1861,,3939616,
AFG,1862,,3957271,
AFG,1863,,3975000,
AFG,1864,,3992801,
AFG,1865,,4010675,
AFG,1866,,4028623,
AFG,1867,,4046645,
AFG,1868,,4064740,
AFG,1869,,4082915,
AFG,1870,,4101170,
AFG,1871,,4119504,
